Time:1, User A, Process 2, Started
Time:1, User A, Process 2, Resumed
Time:4, User A, Process 2, Paused
Time:4, User C, Process 1, Started
Time:4, User C, Process 1, Resumed
Time:7, User C, Process 1, Finished
Time:7, User A, Process 1, Started
Time:7, User A, Process 1, Resumed
Time:8, User A, Process 1, Paused
Time:8, User C, Process 2, Started
Time:8, User C, Process 2, Resumed
Time:9, User C, Process 2, Paused
Time:9, User A, Process 2, Resumed
Time:10, User A, Process 2, Paused
Time:10, User B, Process 1, Started
Time:10, User B, Process 1, Resumed
Time:12, User B, Process 1, Paused
Time:12, User C, Process 3, Started
Time:12, User C, Process 3, Resumed
Time:13, User C, Process 3, Paused
Time:13, User A, Process 1, Resumed
Time:14, User A, Process 1, Paused
Time:14, User C, Process 2, Resumed
Time:15, User C, Process 2, Paused
Time:15, User A, Process 2, Resumed
Time:16, User A, Process 2, Paused
Time:16, User B, Process 1, Resumed
Time:18, User B, Process 1, Paused
Time:18, User C, Process 3, Resumed
Time:19, User C, Process 3, Paused
Time:19, User A, Process 1, Resumed
Time:20, User A, Process 1, Paused
Time:20, User C, Process 2, Resumed
Time:21, User C, Process 2, Paused
Time:21, User A, Process 2, Resumed
Time:22, User A, Process 2, Paused
Time:22, User B, Process 1, Resumed
Time:24, User B, Process 1, Paused
Time:24, User C, Process 3, Resumed
Time:25, User C, Process 3, Paused
Time:25, User A, Process 1, Resumed
Time:26, User A, Process 1, Paused
Time:26, User C, Process 2, Resumed
Time:27, User C, Process 2, Paused
Time:27, User A, Process 2, Resumed
Time:28, User A, Process 2, Finished
Time:28, User B, Process 1, Resumed
Time:29, User B, Process 1, Paused
Time:29, User C, Process 3, Resumed
Time:30, User C, Process 3, Paused
Time:30, User A, Process 1, Resumed
Time:31, User A, Process 1, Finished
Time:31, User C, Process 2, Resumed
Time:32, User C, Process 2, Finished
Time:32, User B, Process 1, Resumed
Time:33, User B, Process 1, Finished
Time:33, User C, Process 3, Resumed
Time:36, User C, Process 3, Paused
Time:36, User C, Process 3, Resumed
Time:40, User C, Process 3, Finished
